date	SPY	TSLA	NFLX	AAPL	T	META
2023-10-31	-0.02170861794703849	-0.197346335225002	0.09028072033898304	-0.002569943344430836	0.025299600532623145	0.003530861730122181
2023-11-30	0.0913438546150167	0.19537940649273056	0.15127887488158565	0.1123148093927504	0.07597402597402603	0.08590301058850858
2023-12-29	0.041432953549517926	0.03498833722092631	0.027238010844568228	0.01358252171624108	0.012673506336753126	0.08195017576035468
2024-01-31	0.01592644800235643	-0.24625724404378624	0.15862224778179423	-0.042227185373707954	0.05423122765196653	0.1022149395411911
2024-02-29	0.05218687872763428	0.07790058198515681	0.06879863856340074	-0.019793926247288485	-0.042962125494629855	0.25629261290818683
2024-03-28	0.029503227838135748	-0.1292351892213196	0.0073144032375773715	-0.05128630705394199	0.039574719432959427	-0.009283251382286362
2024-04-30	-0.040319651289502434	0.04260765686330292	-0.09334299310095018	-0.006706321436902085	-0.04034090909090915	-0.11411096008896571
2024-05-31	0.050579704370691925	-0.028371890004364797	0.16522591893069882	0.12869136382316682	0.07874481941977485	0.08522212148685404
2024-06-28	0.031951002142708296	0.11118598382749312	0.05183753623640164	0.09555266579973987	0.04884742041712409	0.08009339588286957
2024-07-31	0.01210907353643731	0.17278148372751168	-0.06894559032716918	0.054410787199696165	0.0073260073260073	-0.058288048867557896
2024-08-30	0.023365588860042585	-0.07739044253888905	0.11617728972706298	0.03115994236311237	0.033766233766233666	0.09788766505907365
2024-09-30	0.017882486517172946	0.22194199243379553	0.011292507307335775	0.017467248908296984	0.1055276381909549	0.09807983733287307
2024-10-31	-0.008923591745677695	-0.04502541757443723	0.06592693896541513	-0.03042918454935628	0.024545454545454426	-0.008489972748235597
2024-11-29	0.059633511536297146	0.3814688813287974	0.17298255360237014	0.05055110442211497	0.027506654835847355	0.011874977976672918
2024-12-31	-0.027333831217326243	0.17000811217985845	0.005085644050022209	0.05515526903467727	-0.01683937823834203	0.0194839114082741
2025-01-31	0.026856401856401924	0.0018819334389859055	0.09585782883812755	-0.05758326012299331	0.04216073781291185	0.17705931581014833
2025-02-28	-0.012694825695390821	-0.27587740978744435	0.003890413202833898	0.02474576271186435	0.15507796038769484	-0.030441974520444504
2025-03-31	-0.05855128075667304	-0.11543450064850835	-0.04898221424492122	-0.08150016539861071	0.031740240788033613	-0.1374438790781204
2025-04-30	-0.0086701585655804	0.08874826362092914	0.2136017071836831	-0.043352991491468984	-0.020509193776520607	-0.04747033104309806
2025-05-30	0.06284488044144698	0.2278848880068045	0.06672145053546807	-0.054823529411764715	0.0036101083032491488	0.1793989071038251
2025-06-30	0.048287212202446694	-0.08312647924724337	0.10925838489765827	0.02150858849887971	0.04100719424460442	0.1399249409257286
2025-07-31	0.023031480132718274	-0.029559906818611204	-0.1342140046149366	0.011697616610615524	-0.052868002764340005	0.047893888279207264
2025-08-29	0.020519554486773783	0.08304408473091773	0.042133862342590866	0.11836970660500068	0.06858810653046321	-0.04491621845262728
