	SPY	TSLA	NFLX	AAPL	T	META
SPY	0.0012993926525131487	0.00241244150437319	0.0014407903883765095	0.0008232128721522826	0.0002403119529497309	0.002445282078769304
TSLA	0.00241244150437319	0.026703444362555513	0.0011630340529064555	0.0032314574745671387	-0.0019430253378978802	0.002167346919175036
NFLX	0.0014407903883765095	0.0011630340529064555	0.00797674580430349	0.0006759827144674838	0.0011198719509620783	0.0032821958278684777
AAPL	0.0008232128721522826	0.0032314574745671387	0.0006759827144674838	0.0035909581783171744	0.0009368077719599864	1.072067272437279e-05
T	0.0002403119529497309	-0.0019430253378978802	0.0011198719509620783	0.0009368077719599864	0.0023678763239615946	-3.9048670094403864e-05
META	0.002445282078769304	0.002167346919175036	0.0032821958278684777	1.072067272437279e-05	-3.9048670094403864e-05	0.009309123809560319
