index	return	risk	SPY	TSLA	NFLX	AAPL	T	META
0	0.022367057836052577	0.030736795322110804	0.6482250241448646	-2.797896182431796e-20	-2.0079910158809473e-20	0.03073596401641043	0.321039011838725	-6.777756239534768e-20
1	0.022699056879074486	0.030762723611856772	0.6378454187468847	0.0012356680862949338	-9.226486526497715e-21	0.016908431284772662	0.34401048188204775	-6.369199491281932e-20
2	0.023031055922096394	0.03082755131509039	0.6249878538801955	0.005890869748483352	-9.09875623887407e-21	0.0038231663993395686	0.3652981099719816	-6.281108115515203e-20
3	0.023363054965118306	0.03093075307155815	0.6033690156181134	0.010101413317405333	0.0015022381179618652	-6.346160964297835e-22	0.3850273329465194	-4.42627759364692e-21
4	0.023695054008140214	0.0310599098273627	0.5900125950245101	0.011568200689406994	0.008733667879282455	-5.693600822542745e-22	0.38968553640680054	-3.887689669564875e-21
5	0.024027053051162123	0.031202270545773764	0.5766561744309068	0.01303498806140866	0.01596509764060288	-5.0308137902367565e-22	0.3943437398670817	-3.3523250156139443e-21
6	0.02435905209418403	0.03135765539317282	0.5632997538373036	0.014501775433410309	0.023196527401923423	-4.377961426237572e-22	0.39900194332736266	-2.8193512737025663e-21
7	0.024691051137205943	0.03152587179000544	0.5499433332437001	0.015968562805411986	0.03042795716324396	-3.7192703638384367e-22	0.40366014678764395	-2.2853217131757737e-21
8	0.02502305018022785	0.031706715507922006	0.5365869126500967	0.017435350177413652	0.037659386924564574	-3.0689848503339603e-22	0.408318350247925	-1.7485495556858293e-21
9	0.02535504922324976	0.03189997179149699	0.5232304920564935	0.018902137549415318	0.04489081668588504	-2.4092455941993194e-22	0.4129765537082062	-1.2139594011423029e-21
10	0.02568704826627167	0.03210541649182994	0.5098740714628903	0.020368924921416967	0.052122246447205506	-1.7553786009476993e-22	0.4176347571684872	-6.787894505543629e-22
11	0.02601904730929358	0.03232281719868613	0.49651604297795376	0.021835762618964402	0.05935108081133653	-1.523172257792616e-21	0.4222937353469898	3.3782447555966466e-06
12	0.02635104635231549	0.032549240508097516	0.48088242864249825	0.023373824097234146	0.06290675082654301	-1.102113945497097e-21	0.4280491419880749	0.004787854445649795
13	0.026683045395337397	0.03278183227289978	0.4652488143070427	0.024911885575503927	0.06646242084174944	-6.804843180690225e-22	0.43380454862915996	0.009572330646543961
14	0.027015044438359306	0.03302046214400023	0.4496151999715868	0.026449947053773723	0.07001809085695594	-2.5931667403083414e-22	0.43955995527024516	0.014356806847438286
15	0.027347043481381214	0.03326500017673881	0.43398158563613165	0.027988008532043456	0.07357376087216241	1.6089053797046041e-22	0.44531536191133014	0.01914128304833233
16	0.027679042524403126	0.03351531704808675	0.4183479713006759	0.029526070010313238	0.07712943088736889	5.820016479945125e-22	0.45107076855241535	0.02392575924922662
17	0.028011041567425034	0.033771284257922106	0.40271435696522007	0.031064131488583033	0.08068510090257544	1.001894702997769e-21	0.45682617519350055	0.028710235450120875
18	0.028343040610446943	0.034032774314552164	0.3870807426297646	0.032602192966852774	0.08424077091778188	1.423561218653003e-21	0.4625815818345855	0.033494711651015044
19	0.028675039653468855	0.03429966090475776	0.371447128294309	0.034140254445122566	0.08779644093298838	1.8447227785350397e-21	0.4683369884756708	0.038279187851909306
20	0.029007038696490763	0.034571819048724556	0.3558135139588534	0.03567831592339233	0.09135211094819494	2.2650087339329497e-21	0.4740923951167559	0.04306366405280349
21	0.02933903773951267	0.034849125240304125	0.34017989962339784	0.03721637740166211	0.0949077809634014	2.6854352383585837e-21	0.479847801757841	0.047848140253697664
22	0.02967103678253458	0.03513145757311118	0.32454628528794255	0.038754438879931845	0.09846345097860776	3.1062137707456e-21	0.48560320839892607	0.05263261645459181
23	0.03000303582555649	0.03541869585301642	0.30891267095248665	0.04029250035820164	0.10201912099381434	3.525456801317289e-21	0.49135861504001127	0.05741709265548613
24	0.0303350348685784	0.03571072169763466	0.2932790566170309	0.04183056183647144	0.10557479100902087	3.948563194418997e-21	0.4971140216810965	0.062201568856380354
25	0.03066703391160031	0.036007418623439355	0.2776454422815756	0.04336862331474117	0.10913046102422727	4.3671720897850705e-21	0.5028694283221815	0.0669860450572745
26	0.030999032954622217	0.03630867212115533	0.26201182794611994	0.04490668479301093	0.11268613103943384	4.7896174739811805e-21	0.5086248349632666	0.07177052125816873
27	0.03133103199764413	0.03661436972009457	0.246378213610664	0.046444746271280764	0.11624180105464031	5.2095181622648675e-21	0.5143802416043519	0.07655499745906301
28	0.031663031040666034	0.03692440104210568	0.2307445992752087	0.047982807749550486	0.11979747106984676	5.6306727997508806e-21	0.5201356482454369	0.08133947365995715
29	0.031995030083687946	0.0372386578458058	0.2151109849397529	0.04952086922782029	0.12335314108505331	6.051479931756149e-21	0.5258910548865222	0.08612394986085141
30	0.03232702912670986	0.03755703406175724	0.19947737060429743	0.051058930706090064	0.12690881110025978	6.4715575234952855e-21	0.5316464615276072	0.09090842606174555
31	0.03265902816973176	0.037879425819239324	0.18384375626884156	0.052596992184359856	0.13046448111546624	6.893498007259193e-21	0.5374018681686924	0.09569290226263988
32	0.032991027212753675	0.038205731465249776	0.1682101419333863	0.054135053662629586	0.1340201511306728	7.313656931520623e-21	0.5431572748097774	0.10047737846353394
33	0.03332302625577558	0.038535851576351074	0.1525765275979312	0.055673115140899315	0.13757582114587913	7.734244260510945e-21	0.5489126814508624	0.10526185466442804
34	0.03365502529879749	0.038869688963955	0.13694291326247546	0.0572111766191691	0.14113149116108575	8.155915777502333e-21	0.5546680880919475	0.11004633086532226
